ID;CLASE DE RIESGO;Nº de Expedientes;Indemnizaciones;%;Costes Medios
54 ;Viviendas y Comunidades de Viviendas; 25,025   ; 432,609,243   ; 83.4   ; 17,287   
54 ;Oficinas; 363   ; 7,946,738   ; 1.5   ; 21,892   
54 ;Comercios ; 2,069   ; 69,328,092   ; 13.5   ; 33,508   
54 ;Industriales; 201   ; 7,578,480   ; 1.5   ; 37,704   
54 ;Vehículos Automóviles; 375   ; 726,808   ; 0.1   ; 1,938   
54 ;Obras Civiles; 1   ; 26,052   ; 0.0   ; 26,052   
55 ;Daños personales; 1   ; 2,131   ; 0.0   ; 2,131   
55 ;Viviendas y Comunidades de Viviendas; 2,429   ; 10,169,014   ; 18.9   ; 4,187   
55 ;Oficinas; 39   ; 762,331   ; 1.4   ; 19,547   
55 ;Comercios ; 627   ; 18,674,280   ; 34.7   ; 29,784   
55 ;Industriales; 333   ; 21,536,959   ; 40.1   ; 64,676   
55 ;Vehículos Automóviles; 698   ; 2,257,847   ; 4.2   ; 3,235   
55 ;Obras Civiles; 3   ; 377,133   ; 0.7   ; 125,711   
56 ;Daños personales;13 ; 294,959   ; 0.1   ; 22,689   
56 ;Viviendas y Comunidades de Viviendas; 14,841   ; 104,749,033   ; 46.6   ; 7,058   
56 ;Oficinas; 254   ; 5,254,863   ; 2.3   ; 20,688   
56 ;Comercios ; 3,174   ; 52,300,922   ; 23.3   ; 16,478   
56 ;Industriales; 561   ; 31,180,198   ; 13.9   ; 55,580   
56 ;Vehículos Automóviles; 6,779   ; 23,650,065   ; 10.5   ; 3,489   
56 ;Obras Civiles; 14   ; 7,397,584   ; 3.3   ; 528,399   
57 ;Daños personales; 1   ; 485   ; 0.0   ; 485   
57 ;Viviendas y Comunidades de Viviendas; 14,839   ; 10,650,365   ; 48.5   ; 718   
57 ;Oficinas; 59   ; 54,775   ; 0.2   ; 928   
57 ;Comercios ; 1,097   ; 3,662,615   ; 16.7   ; 3,339   
57 ;Industriales; 1,281   ; 6,087,348   ; 27.7   ; 4,752   
57 ;Vehículos Automóviles; 514   ; 849,344   ; 3.9   ; 1,652   
57 ;Obras Civiles; 11   ; 661,770   ; 3.0   ; 60,161   
58 ;Viviendas y Comunidades de Viviendas; 20,123   ; 16,981,889   ; 53.7   ; 844   
58 ;Oficinas; 56   ; 82,447   ; 0.3   ; 1,472   
58 ;Comercios ; 1,197   ; 4,075,319   ; 12.9   ; 3,405   
58 ;Industriales; 1,632   ; 9,233,240   ; 29.2   ; 5,658   
58 ;Vehículos Automóviles; 677   ; 1,028,719   ; 3.3   ; 1,520   
58 ;Obras Civiles; 5   ; 177,099   ; 0.6   ; 35,420   
59 ;Viviendas y Comunidades de Viviendas; 601   ; 2,990,819   ; 13.3   ; 4,976   
