 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 SEVILLA; 5   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; 1   ; 2   ; 2   ; -   ; -   ; 31   ; 26   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 SORIA; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 TARRAGONA; -   ; 3   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 TERUEL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 TOLEDO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; 3   ; 58   ; 9   ; -   ; 4   ; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 VALÈNCIA/VALENCIA; 5   ; 9   ; 3   ; 2   ; 9   ; 52   ; 1   ; -   ; -   ; 37   ; 1   ; 1   ; 2   ; -   ; 28   ; 46   ; 10   ; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 VALLADOLID; -   ; -   ; 1   ; 2   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 BIZKAIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 ZAMORA; -   ; -   ; -   ; 7   ; -   ; -   ; -   ; -   ; -   ; 21   ; 3   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 ZARAGOZA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1   ; -   ; -   ; 3,183   ; -   ; -   ; -   ; -   
 DIVERSAS*; 1   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
