 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 LLEIDA; 1,454,693   ; 24,172   ; 70,223   ; 492,998   ; 83,156   ; 370,607   ; 105,028   ; 93,314   ; 145,312   ; 215,285   ; 36,442   ; 127,408   ; 295,588   ; 48,607   ; 1,355,895   ; 489,766   ; 576,718   ; 98,025   ; 181,884   ; 27,345,272   ; 1,955,675   ; 2,338,281   ; 751,976   ; 131,391   ; 150,885   ; 22,475,952   ; 722,085   
 LA RIOJA; -   ; 450,390   ; 233,797   ; 460,476   ; 291,646   ; 794,522   ; 466,221   ; 67,782   ; 295,981   ; 2,927,676   ; 1,182,868   ; 237,290   ; 558,634   ; 1,497,293   ; 1,520,552   ; 313,383   ; 5,086,412   ; 4,811   ; 49,245   ; 844,492   ; 470,014   ; 2,705,237   ; 60,523   ; 82,417   ; 1,044,750   ; 167,045   ; 16,269   
 LUGO; 84,266   ; 25,934   ; 86,307   ; 42,943   ; 57,866   ; 25,451   ; 3,445,688   ; 391,576   ; 29,346   ; 25,234   ; 22,215   ; 26,265   ; 475,569   ; 102,166   ; 123,734   ; 65,453   ; 3,968,004   ; 1,032,793   ; 13,699   ; 751,950   ; 405,096   ; 124,557   ; 288,550   ; 34,613   ; 721,195   ; 217,375   ; 21,711   
 MADRID; 184,481   ; 23,392,507   ; 3,192,562   ; 2,268,652   ; 4,752,740   ; 2,960,782   ; 1,883,317   ; 558,097   ; 518,417   ; 2,873,373   ; 4,794,042   ; 446,363   ; 2,508,294   ; 8,847,212   ; 32,840,897   ; 5,174,601   ; 9,280,906   ; 8,092,883   ; 3,188,152   ; 1,709,413   ; 4,400,448   ; 14,913,611   ; 657,755   ; 9,009,433   ; 2,651,865   ; 24,887,493   ; 4,436,104   
 MÁLAGA; 395,692   ; 1,526,170   ; 2,134,971   ; 7,206,815   ; 35,113,412   ; 283,406   ; 715,375   ; 10,803,365   ; 923,834   ; 9,154,820   ; 24,551,580   ; 460,556   ; 8,475,200   ; 10,925,687   ; 2,464,330   ; 13,028,445   ; 43,072,756   ; 10,106,785   ; 19,734,954   ; 467,329   ; 3,396,640   ; 4,020,800   ; 59,223,486   ; 7,788,833   ; 43,224,866   ; 4,862,476   ; 14,450,215   
 MURCIA; 54,950   ; 298,136   ; 175,213   ; 5,885,368   ; 140,563   ; 205,918   ; 12,068,329   ; 2,183,063   ; 206,501   ; 3,572,753   ; 581,972   ; 616,379   ; 601,874   ; 2,636,499   ; 977,529   ; 9,497,768   ; 6,347,734   ; 3,329,152   ; 59,398,879   ; 2,476,751   ; 7,537,139   ; 1,754,668   ; 47,596,324   ; 609,413   ; 4,415,559   ; 205,724,763   ; 1,271,858   
 NAVARRA; 15,482   ; 31,639   ; 716,393   ; 5,777,026   ; 408,846   ; 2,074,589   ; 207,943   ; 25,424   ; 249,740   ; 9,096,778   ; 13,956,807   ; 103,479   ; 3,222,979   ; 6,297,087   ; 641,345   ; 4,463,968   ; 3,633,778   ; 1,322,946   ; 976,663   ; 23,750,500   ; 5,670,063   ; 8,332,098   ; 84,335   ; 890,087   ; 1,879,155   ; 28,058,929   ; 673,520   
 OURENSE; -   ; 370,606   ; 60,591   ; 79,576   ; 33,196   ; 464,363   ; 2,589,161   ; 4,408,643   ; 555,371   ; 27,155   ; 218,010   ; 285,459   ; 238,913   ; 5,043   ; 10,807   ; 78,161   ; 126,818   ; 197,815   ; 3,625   ; 386,406   ; 275,743   ; 44,262   ; 400,162   ; 372,976   ; 588,272   ; 996,055   ; 90,772   
 ASTURIAS; 296,880   ; 283,694   ; 1,413,957   ; 1,198,486   ; 188,353   ; 287,006   ; 134,694   ; 533,536   ; 174,170   ; 2,702,474   ; 126,490   ; 525,494   ; 378,020   ; 351,243   ; 5,214,479   ; 28,478   ; 46,928,386   ; 24,096   ; 680,657   ; 1,560,826   ; 2,998,594   ; 3,321,390   ; 1,091,634   ; 590,239   ; 9,203,557   ; 7,887,217   ; 442,112   
 PALENCIA; 7,629   ; 309,644   ; 182,450   ; 6,382,784   ; 6,882   ; 50,043   ; 113,313   ; 1,353,709   ; 16,396   ; 11,613   ; 204,275   ; 19,309   ; 90,067   ; 170,646   ; 37,804   ; 2,291   ; 292,674   ; 579,530   ; 260,186   ; 218,480   ; 149,444   ; 42,930   ; 142,288   ; 10,532   ; 216,831   ; 3,202,474   ; 42,185   
 LAS PALMAS; 331,639   ; 824,614   ; 105,118   ; 116,891   ; 188,674   ; 1,297,635   ; 3,310,991   ; 11,882,257   ; 4,444,394   ; 88,318   ; 1,474,013   ; 1,888,133   ; 3,284,468   ; 2,537,583   ; 102,370   ; 746,841   ; 1,512,972   ; 1,614,706   ; 1,262,051   ; 119,592   ; 723,571   ; 6,601,947   ; 115,081   ; 486,378   ; 302,033   ; 59,952   ; 348,845   
 PONTEVEDRA; 39,401   ; 434,929   ; 374,531   ; 487,410   ; 1,173,591   ; 1,044,746   ; 10,322,204   ; 5,130,696   ; 1,006,743   ; 750,041   ; 779,487   ; 415,356   ; 43,745,183   ; 172,961   ; 155,524   ; 1,336,801   ; 351,063   ; 12,558,931   ; 929,828   ; 1,986,346   ; 8,332,555   ; 470,289   ; 4,119,972   ; 608,481   ; 528,770   ; 1,171,835   ; 1,532,236   
 SALAMANCA; -   ; 836,159   ; 873,169   ; 839,246   ; 48,147   ; 1,022   ; 765,304   ; 167,482   ; 3,187   ; 4,800   ; 70,743   ; 1,899   ; 1,574,928   ; 166,150   ; 1,104,769   ; 692,249   ; 182,570   ; 373,818   ; 87,916   ; 217,566   ; 205,774   ; 95,360   ; 60,525   ; 18,108   ; 913,834   ; 1,235,345   ; 387,785   
 STA. CRUZ DE TENERIFE; 7,099   ; 15,984   ; 235,729   ; 219,557   ; 26,379   ; 9,678,578   ; 1,611,147   ; 157,312   ; 44,501,857   ; 681,105   ; 130,847   ; 1,763,130   ; 1,605,627   ; 584,935   ; 69,461   ; 1,992,691   ; 17,158,189   ; 438,726   ; 470,080   ; 3,030,451   ; 8,011,890   ; 690,032   ; 485,246   ; 56,686   ; 1,496,750   ; 8,790   ; 62,614   
 CANTABRIA; 2,087,505   ; 277,452   ; 4,150,332   ; 887,559   ; 391,319   ; 36,600   ; 916,539   ; 156,417   ; 597,937   ; 1,515,005   ; 1,267,431   ; 1,729,224   ; 7,004,601   ; 466,986   ; 3,166,989   ; 2,888,097   ; 4,348,851   ; 415,323   ; 243,640   ; 4,071,866   ; 6,734,780   ; 15,184,208   ; 1,154,754   ; 228,015   ; 4,194,255   ; 23,527,010   ; 2,166,853   
 SEGOVIA; -   ; 81,225   ; 96,476   ; 74,221   ; 2,135   ; 9,893   ; 9,457   ; 7,492   ; 3,570   ; 36,525   ; 11,394   ; 7,856   ; 170,974   ; 46,593   ; 175,558   ; 10,237   ; 67,230   ; 83,076   ; 1,681   ; 282,666   ; 248,095   ; 22,964   ; 54,844   ; 959,472   ; 442,523   ; 333,741   ; 274,628   
 SEVILLA; 690,666   ; 1,016,738   ; 11,957,199   ; 29,797,811   ; 1,242,025   ; 3,059,861   ; 771,864   ; 9,043,557   ; 2,606,770   ; 3,147,656   ; 2,875,297   ; 1,169,147   ; 3,515,742   ; 14,774,018   ; 1,717,773   ; 12,166,294   ; 44,476,118   ; 793,629   ; 1,906,889   ; 4,206,122   ; 6,127,913   ; 923,369   ; 2,121,769   ; 4,129,361   ; 5,798,578   ; 1,333,817   ; 819,654   
 SORIA; 31,330   ; 150,945   ; 4,573   ; 155,496   ; -   ; 35,426   ; 101,967   ; 165,676   ; 47,117   ; 249,363   ; 22,116   ; 39,123   ; 583,153   ; 7,472   ; 44,458   ; 110,949   ; 15,068   ; 881   ; 20,982   ; 316,493   ; 93,140   ; 179,019   ; 162,539   ; 235,472   ; 373,331   ; 163,321   ; 35,509   
 TARRAGONA; 39,032,641   ; 2,136,737   ; 835,500   ; 1,835,421   ; 162,897   ; 1,342,863   ; 21,657,243   ; 4,935,610   ; 3,008,556   ; 1,424,247   ; 14,144,352   ; 4,246,469   ; 44,677,859   ; 790,813   ; 4,241,622   ; 287,875   ; 3,085,521   ; 4,943,377   ; 2,267,904   ; 650,325   ; 1,741,114   ; 2,284,389   ; 265,605   ; 1,491,595   ; 8,683,409   ; 14,216,014   ; 10,650,281   
 TERUEL; 8,208   ; 35,243   ; 111,574   ; 108,090   ; 3,156   ; 759,697   ; 1,214,735   ; 37,728   ; 249,728   ; 537,655   ; 2,444   ; 27,021   ; 105,316   ; 9,906   ; -   ; 97,907   ; 53,818   ; 81,284   ; 36,292   ; 418,964   ; 289,303   ; 869,468   ; 27,403   ; 77,527   ; 302,716   ; 29,954   ; 269,773   
 TOLEDO; -   ; 314,475   ; 95,203   ; 127,714   ; 288,726   ; 413,849   ; 158,578   ; 407,539   ; 15,833   ; 43,089   ; 69,582   ; 48,962   ; 441,480   ; 2,621,812   ; 2,458,988   ; 8,100,189   ; 1,255,864   ; 1,683,804   ; 94,263   ; 115,325   ; 334,276   ; 535,101   ; 67,143   ; 806,012   ; 966,082   ; 2,388,906   ; 193,893   
 VALÈNCIA/VALENCIA; 1,628,373   ; 2,875,668   ; 17,813,175   ; 13,192,412   ; 1,317,099   ; 7,396,975   ; 80,103,942   ; 43,123,646   ; 8,285,469   ; 4,396,650   ; 19,199,428   ; 1,697,697   ; 1,829,963   ; 44,778,020   ; 33,413,669   ; 14,377,089   ; 3,385,708   ; 2,669,657   ; 62,217,344   ; 2,251,137   ; 3,489,108   ; 10,374,766   ; 10,898,429   ; 1,631,766   ; 17,984,646   ; 10,847,458   ; 81,638,224   
 VALLADOLID; 23,658   ; 75,533   ; 248,201   ; 3,121,245   ; 66,298   ; 5,386,488   ; 279,418   ; 8,347,477   ; 53,118   ; 1,442,742   ; 212,563   ; 28,939   ; 2,151,084   ; 1,567,930   ; 337,642   ; 475,128   ; 321,366   ; 3,723,742   ; 123,103   ; 2,879,049   ; 841,933   ; 208,299   ; 147,402   ; 184,792   ; 940,486   ; 2,094,119   ; 233,235   
 BIZKAIA; 449,418   ; 1,000,180   ; 12,051,370   ; 312,329   ; 1,761,283   ; 668,119   ; 152,703   ; 401,545   ; 21,645,938   ; 158,841   ; 236,909   ; 1,039,987   ; 627,230   ; 3,658,012   ; 62,350,268   ; 18,491,999   ; 21,632,637   ; 10,856,627   ; 19,511   ; 2,579,234   ; 6,323,057   ; 6,440,303   ; 1,470,363   ; 17,902   ; 3,920,780   ; 354,792   ; 150,502   
 ZAMORA; 1,151   ; 395,425   ; 329,931   ; 162,367   ; -   ; 19,371   ; 359,944   ; 1,059,603   ; 229,514   ; 109,315   ; 5,326   ; -   ; 160,289   ; 108,176   ; 19,480   ; 78,224   ; 232,648   ; 632,924   ; 5,677   ; 451,664   ; 107,018   ; 50,410   ; 469,922   ; 118,567   ; 115,701   ; 463,326   ; 62,335   
 ZARAGOZA; 33,490   ; 155,547   ; 3,821,047   ; 1,302,306   ; 341,913   ; 2,054,779   ; 1,164,102   ; 1,086,406   ; 3,162,007   ; 14,916,288   ; 3,024,260   ; 58,427   ; 3,186,305   ; 6,501,204   ; 1,390,233   ; 56,617   ; 508,973   ; 138,421   ; 2,018,620   ; 1,095,224   ; 1,449,681   ; 29,594,663   ; 293,077   ; 999,080   ; 15,534,824   ; 168,316   ; 1,004,558   
 CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 14,543   ; 869,851   ; 412,374   ; 959,319   ; 2,337   ; 2,851,623   ; 5,563,426   ; 603   ; 376,431   ; 28,461   ; 604   ; 264,513   ; 177,620   ; 2,565   ; 10,184   ; 10,036   ; -   ; 370   ; 1,443   
 MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 41,901   ; 159,412   ; 32,816   ; 13,651   ; 895   ; -   ; 170,294   ; 1,846,111   ; 7,816   ; 40,282   ; 3,022   ; 39,780   ; -   ; 1,354   ; 85,777   ; 84,386   ; 37,722   ; 122,327   ; -   ; -   
 DIVERSAS*; 22,520,409   ; 2,661,749   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
