ID; PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
tempestad; CÁCERES; -   ; -   ; -   ;52; -   ; -   ; -   ; -   ; -   ; -   ;32; -   ;2; -   ;5; -   ;5; -   ; -   ;725;38;15; -   ;113; -   ;239;496
tempestad; CÁDIZ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;35;660;203;518; -   ;2;1,084;10;3;12;22;122;31;10
tempestad; CASTELLÓ/CASTELLÓN; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ;1; -   ; -   ;1;278; -   ;208;1,047;1;7;69;4;21;7;317; -   ;471;11
tempestad; CIUDAD REAL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2;123; -   ;1;71; -   ; -   ; -   ; -   ;74; -   ;1
tempestad; CÓRDOBA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;57;2; -   ;1;35; -   ; -   ;163; -   ; -   ; -   ; -   ; -   ; -   ;5
tempestad; A CORUÑA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,264; -   ;2;25,909;5,766;134;537;8,433;2,275;221;329;12,672;396;5,143;162
tempestad; CUENCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;26; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;5
tempestad; GIRONA; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2; -   ; -   ;5;20;1;1;1;958;15;43;438;154;117;309;163;548;181;1,231;1,052
tempestad; GRANADA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3;2; -   ;1;850;6;1;276;114;77; -   ;70;4;64; -   
tempestad; GUADALAJARA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2; -   ; -   ; -   ; -   ;31;7; -   ; -   ;9; -   ; -   ; -   ;6;1;63;5
tempestad; GIPUZKOA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3;2; -   ;10,855;5,997;3;9;890;266;131;3;2,988;44;2,935;827
tempestad; HUELVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ;2;5; -   ;5;2;330; -   ;68;81;115; -   ;163
tempestad; HUESCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,532;9;3;119;18;158;74;6;49;18;49;14
tempestad; JAÉN; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ;776; -   ; -   ; -   ; -   ; -   ;420; -   ; -   ;1,413; -   ; -   ; -   ;1;163;1; -   
tempestad; LEÓN; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;2; -   ;2,105;1,099;21;56;311;169;38;43;1,459;20;970;268
tempestad; LLEIDA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;1; -   ;1;4,958;371; -   ;243;150;908;258;3;38;5;72;186
tempestad; LA RIOJA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;14;2; -   ;3,978;353;28;5;39;18;6;76;1,885;14;806;179
tempestad; LUGO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;1;24;10,751;2,799;115;155;1,351;1,704;69;278;5,431;253;2,129;221
tempestad; MADRID; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;12; -   ; -   ;2; -   ;1,798;2,361;20;1;550;290;3,189;9;745;454;2,298;268
tempestad; MÁLAGA;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;18; -   ; -   ; -   ; -   ;4,681;96;2;28;19;143; -   ;34;27;1;33;2
tempestad; MURCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;271;276; -   ;1;1,420;3;724; -   ; -   ;76;201;508
tempestad; NAVARRA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2,674;2,135;3;6;130;62;25;20;852;114;1,219;333
tempestad; OURENSE; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ;3,154;1,861;47;104;742;241;127;83;4,090;55;2,561;124
tempestad; ASTURIAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2; -   ; -   ;90; -   ;18,682;2,074;786;129;2,437;986;216;463;5,122;151;2,300;209
tempestad; PALENCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;149;178; -   ;1;53;33;38;13;432;16;150;113
tempestad; LAS PALMAS; -   ; -   ; -   ; -   ; -   ;4; -   ; -   ; -   ; -   ; -   ;2,181;4; -   ; -   ;2;3,548;1;26;398; -   ;10; -   ;94;70; -   ;548
tempestad; PONTEVEDRA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;206;3;28;7,335;9,919;50;229;8,880;1,290;178;102;18,804;599;4,385;146
tempestad; SALAMANCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2; -   ; -   ; -   ;473; -   ;23;255;56;19;1;216;7;532;77
tempestad; STA. CRUZ DE TENERIFE; -   ; -   ; -   ; -   ; -   ;13; -   ; -   ; -   ; -   ; -   ;13,847;17; -   ;188;2;10,387;8;1,100;1,238;1,372;17;8;35;939;36;5,176
tempestad; CANTABRIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,427;107; -   ;19,939;1,973;85;166;1,191;1,568;217;36;4,437;270;2,899;45
tempestad; SEGOVIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;553;3,589;6; -   ;36;88; -   ;4;207;10;2,356;296
tempestad; SEVILLA; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ;1;1; -   ; -   ;36;3;2; -   ;27;299;3,359;12;35; -   ; -   ;180;1; -   
tempestad; SORIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;139;73;36;3;74;3;1;12;187;10;999;270
tempestad; TARRAGONA; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3; -   ;2;1;3;4;63;829;24,245;1,221;52;3;1,872;62;113;66;2,005;495;753;360
tempestad; TERUEL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;344;20;17;5;2;28;1;4;5;4;52;70
tempestad; TOLEDO; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4; -   ; -   ; -   ; -   ; -   ;1;1; -   ;308; -   ; -   ;26; -   ;1,924; -   ;7;19;46;4
tempestad; VALÈNCIA/VALENCIA; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ;10;5,442; -   ; -   ;39;2;3,049;15,360;28;1,229;26; -   ;1,152; -   ;1;71;3;4,655
tempestad; VALLADOLID; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;205; -   ;4; -   ; -   ;1;17;2; -   ; -   ; -   ; -   ; -   ; -   
tempestad; BIZKAIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;473;5;16;22,390;5,380;528;431;994;1,193;559;101;2,898;38;2,692;437
tempestad; ZAMORA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;256;39;2; -   ;8;4; -   ;1;93; -   ;83;26
tempestad; ZARAGOZA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;20; -   ; -   ; -   ; -   ;321;156;54;19;146;46;505;59;1,538;1,376;745;65
tempestad; CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
