 PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 MURCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 301,319   ; 351,418   ; -   ; 2,108   ; 1,014,942   ; 3,857   ; 585,513   ; -   ; -   ; 44,618   ; 159,065   ; 557,983   
 NAVARRA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5,550,492   ; 2,920,163   ; 46,064   ; 4,502   ; 156,222   ; 127,519   ; 201,230   ; 19,107   ; 904,479   ; 237,194   ; 1,230,154   ; 545,306   
 OURENSE; -   ; -   ; -   ; -   ; -   ; 9,325   ; -   ; -   ; -   ; -   ; 17,058   ; -   ; -   ; -   ; -   ; 6,014,481   ; 2,307,903   ; 44,760   ; 84,197   ; 710,500   ; 204,714   ; 82,999   ; 62,463   ; 8,238,643   ; 37,398   ; 2,434,169   ; 73,470   
 ASTURIAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,259   ; -   ; -   ; 461,814   ; -   ; 34,861,217   ; 1,979,987   ; 720,083   ; 72,796   ; 2,288,593   ; 1,009,666   ; 98,511   ; 210,713   ; 3,789,252   ; 89,144   ; 1,582,534   ; 210,140   
 PALENCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 133,658   ; 6,692,190   ; -   ; 371   ; 24,937   ; 17,445   ; 29,064   ; 10,087   ; 376,426   ; 12,407   ; 188,946   ; 71,025   
 LAS PALMAS; -   ; -   ; -   ; -   ; -   ; 440,323   ; -   ; -   ; -   ; -   ; -   ; 15,687,080   ; 10,696   ; -   ; -   ; 4,963   ; 9,201,961   ; 618   ; 26,809   ; 451,058   ; -   ; 55,767   ; -   ; 129,035   ; 59,945   ; -   ; 966,077   
 PONTEVEDRA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 530,575   ; 1,349   ; 26,391   ; 11,342,253   ; 13,069,485   ; 71,945   ; 333,357   ; 9,313,239   ; 1,493,162   ; 141,250   ; 127,539   ; 19,996,696   ; 842,300   ; 4,042,080   ; 119,634   
 SALAMANCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 695   ; -   ; -   ; -   ; 603,701   ; -   ; 11,041   ; 216,051   ; 36,884   ; 5,036   ; 1,574   ; 168,296   ; 3,566   ; 839,817   ; 55,485   
 STA. CRUZ DE TENERIFE; -   ; -   ; -   ; -   ; -   ; 1,603,088   ; -   ; -   ; -   ; -   ; -   ; 70,322,201   ; 12,271   ; -   ; 362,481   ; 2,500   ; 25,032,487   ; 27,360   ; 1,886,132   ; 2,555,938   ; 2,210,432   ; 49,360   ; 3,422   ; 31,420   ; 1,383,282   ; 17,022   ; 8,617,481   
 CANTABRIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2,225,469   ; 157,070   ; -   ; 26,554,564   ; 3,883,093   ; 119,379   ; 127,821   ; 1,124,958   ; 1,452,169   ; 160,624   ; 34,146   ; 2,823,034   ; 406,183   ; 4,033,161   ; 32,884   
 SEGOVIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 541,589   ; 4,431,929   ; 8,384   ; -   ; 17,618   ; 84,983   ; -   ; 2,300   ; 94,285   ; 3,873   ; 2,084,763   ; 998,793   
 SEVILLA; -   ; -   ; -   ; -   ; -   ; 3,751   ; -   ; -   ; -   ; 15,809   ; 1,851   ; -   ; -   ; 2,352,751   ; 28,472   ; 3,967,990   ; -   ; 160,065   ; 386,445   ; 3,175,599   ; 583,754   ; 11,791   ; -   ; -   ; 206,385   ; 3,731,250   ; -   
 SORIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 237,153   ; 57,665   ; 61,354   ; 61,298   ; 136,635   ; 4,289   ; 10,808   ; 9,870   ; 239,921   ; 2,124,166   ; 1,067,595   ; 331,608   
 TARRAGONA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8,623   ; -   ; 4,889   ; 1,704   ; 65,362   ; 21,271   ; 92,992   ; 6,246,226   ; 46,103,821   ; 1,390,812   ; 151,330   ; 2,277   ; 1,903,038   ; 74,787   ; 238,066   ; 37,838   ; 2,782,933   ; 707,830   ; 620,594   ; 456,530   
 TERUEL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 414,739   ; 28,593   ; 48,476   ; 4,715   ; 959   ; 17,748   ; 1,005   ; 1,511   ; 15,625   ; 2,067   ; 65,374   ; 1,084,557   
 TOLEDO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 155,696   ; -   ; -   ; -   ; -   ; -   ; 5,281,822   ; 744   ; -   ; 237,528   ; -   ; -   ; 26,305   ; -   ; 2,071,373   ; -   ; 6,005   ; 29,121   ; 25,982   ; 1,577   
 VALÈNCIA/VALENCIA; -   ; -   ; -   ; -   ; -   ; 5,807   ; -   ; -   ; -   ; 81,521   ; 17,074,157   ; -   ; -   ; 959,486   ; 1,295   ; 3,839,097   ; 17,876,879   ; 103,509   ; 8,947,615   ; 14,251   ; -   ; 1,035,546   ; -   ; 3,475   ; 167,241   ; 10,451   ; 5,294,240   
 VALLADOLID; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,492,929   ; -   ; 5,613   ; -   ; -   ; 8,363   ; 363,622   ; 185,754   ; -   ; -   ; -   ; -   ; -   ; -   
 BIZKAIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,020   ; 4,836,609   ; 22,940   ; 376,557   ; 32,323,779   ; 6,311,346   ; 812,344   ; 361,245   ; 1,149,777   ; 2,382,703   ; 622,605   ; 108,049   ; 2,154,503   ; 12,926   ; 2,993,923   ; 321,637   
 ZAMORA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1,073,334   ; 361,190   ; 3,718   ; -   ; 143,202   ; 10,897   ; -   ; 51,458   ; 49,508   ; -   ; 281,929   ; 18,539   
 ZARAGOZA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 13,275   ; -   ; -   ; -   ; -   ; 700,271   ; 170,905   ; 98,892   ; 11,197   ; 7,045,648   ; 166,575   ; 1,219,704   ; 64,658   ; 2,589,453   ; 2,355,838   ; 2,936,591   ; 35,735   
 CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5,407   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 DIVERSAS*; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
