ID; PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
tempestad; CÓRDOBA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;123,365;1,221; -   ;753;283,210; -   ; -   ;183,661; -   ; -   ; -   ; -   ; -   ; -   ;13,516
tempestad; A CORUÑA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3,078,209; -   ;36,336;82,768,386;11,068,742;123,333;456,152;11,631,077;3,203,687;162,534;517,550;25,795,009;301,690;7,887,704;135,601
tempestad; CUENCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3,110;1,101,153; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;6,370
tempestad; GIRONA; -   ; -   ; -   ; -   ; -   ; -   ; -   ;8,674; -   ; -   ;7,200;149,672;4,571;12,161;295;1,939,389;48,292;49,471;589,363;100,506;107,314;367,218;180,661;481,870;645,370;1,843,886;2,856,232
tempestad; GRANADA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;19,309;2,546; -   ;58,295;1,195,661;7,243;9,157;566,081;794,916;572,430; -   ;100,242;1,751;63,979; -   
tempestad; GUADALAJARA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;943; -   ; -   ; -   ; -   ;2,014,498;2,408; -   ; -   ;20,229; -   ; -   ; -   ;2,033;381;50,588;5,265
tempestad; GIPUZKOA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;17,163;4,340; -   ;11,493,415;7,978,685;6,584;19,321;865,036;222,261;105,651;2,370;3,013,216;26,593;3,060,750;816,634
tempestad; HUELVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;137,398; -   ;1,945;96,668; -   ;9,416;233;818,597; -   ;116,563;141,303;432,525; -   ;282,866
tempestad; HUESCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3,473,526;2,731;2,763;336,631;16,087;328,456;127,827;12,709;46,031;15,886;36,951;13,237
tempestad; JAÉN; -   ; -   ; -   ;18,186; -   ; -   ; -   ; -   ; -   ; -   ;1,310,977; -   ; -   ; -   ; -   ; -   ;264,292; -   ; -   ;919,099; -   ; -   ; -   ;678;172,446;120; -   
tempestad; LEÓN; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;5,865;22,917; -   ;3,207,828;1,253,613;168,196;35,684;231,419;149,688;24,766;37,866;1,171,041;12,456;743,740;175,193
tempestad; LLEIDA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;20,632;939; -   ;1,617;9,420,874;1,015,871; -   ;587,653;320,934;1,998,658;883,674;106,602;22,526;1,491;114,901;203,143
tempestad; LA RIOJA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;67,263;4,432; -   ;7,234,987;287,003;34,160;4,471;50,188;12,694;24,361;54,495;1,948,463;5,584;1,073,856;187,493
tempestad; LUGO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;144;275;27,186;19,881,694;3,099,683;411,463;119,556;989,220;2,084,718;40,356;205,135;7,989,858;109,491;2,083,142;150,668
tempestad; MADRID; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;167,520; -   ; -   ;13,209; -   ;1,868,261;1,388,469;26,384;1,980;520,743;325,739;4,251,217;5,632;1,630,711;375,792;1,704,549;149,658
tempestad; MÁLAGA;20,359; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;49,260; -   ; -   ; -   ; -   ;21,282,829;259,902;38,434;65,412;37,685;499,531; -   ;69,316;26,920;177,646;18,572;184,590
tempestad; MURCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;301,319;351,418; -   ;2,108;1,014,942;3,857;585,513; -   ; -   ;44,618;159,065;557,983
tempestad; NAVARRA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;5,550,492;2,920,163;46,064;4,502;156,222;127,519;201,230;19,107;904,479;237,194;1,230,154;545,306
tempestad; OURENSE; -   ; -   ; -   ; -   ; -   ;9,325; -   ; -   ; -   ; -   ;17,058; -   ; -   ; -   ; -   ;6,014,481;2,307,903;44,760;84,197;710,500;204,714;82,999;62,463;8,238,643;37,398;2,434,169;73,470
tempestad; ASTURIAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,259; -   ; -   ;461,814; -   ;34,861,217;1,979,987;720,083;72,796;2,288,593;1,009,666;98,511;210,713;3,789,252;89,144;1,582,534;210,140
tempestad; PALENCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;133,658;6,692,190; -   ;371;24,937;17,445;29,064;10,087;376,426;12,407;188,946;71,025
tempestad; LAS PALMAS; -   ; -   ; -   ; -   ; -   ;440,323; -   ; -   ; -   ; -   ; -   ;15,687,080;10,696; -   ; -   ;4,963;9,201,961;618;26,809;451,058; -   ;55,767; -   ;129,035;59,945; -   ;966,077
tempestad; PONTEVEDRA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;530,575;1,349;26,391;11,342,253;13,069,485;71,945;333,357;9,313,239;1,493,162;141,250;127,539;19,996,696;842,300;4,042,080;119,634
tempestad; SALAMANCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;695; -   ; -   ; -   ;603,701; -   ;11,041;216,051;36,884;5,036;1,574;168,296;3,566;839,817;55,485
tempestad; STA. CRUZ DE TENERIFE; -   ; -   ; -   ; -   ; -   ;1,603,088; -   ; -   ; -   ; -   ; -   ;70,322,201;12,271; -   ;362,481;2,500;25,032,487;27,360;1,886,132;2,555,938;2,210,432;49,360;3,422;31,420;1,383,282;17,022;8,617,481
tempestad; CANTABRIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2,225,469;157,070; -   ;26,554,564;3,883,093;119,379;127,821;1,124,958;1,452,169;160,624;34,146;2,823,034;406,183;4,033,161;32,884
tempestad; SEGOVIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;541,589;4,431,929;8,384; -   ;17,618;84,983; -   ;2,300;94,285;3,873;2,084,763;998,793
tempestad; SEVILLA; -   ; -   ; -   ; -   ; -   ;3,751; -   ; -   ; -   ;15,809;1,851; -   ; -   ;2,352,751;28,472;3,967,990; -   ;160,065;386,445;3,175,599;583,754;11,791; -   ; -   ;206,385;3,731,250; -   
tempestad; SORIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;237,153;57,665;61,354;61,298;136,635;4,289;10,808;9,870;239,921;2,124,166;1,067,595;331,608
tempestad; TARRAGONA; -   ; -   ; -   ; -   ; -   ; -   ; -   ;8,623; -   ;4,889;1,704;65,362;21,271;92,992;6,246,226;46,103,821;1,390,812;151,330;2,277;1,903,038;74,787;238,066;37,838;2,782,933;707,830;620,594;456,530
tempestad; TERUEL; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;414,739;28,593;48,476;4,715;959;17,748;1,005;1,511;15,625;2,067;65,374;1,084,557
tempestad; TOLEDO; -   ; -   ; -   ; -   ; -   ; -   ; -   ;155,696; -   ; -   ; -   ; -   ; -   ;5,281,822;744; -   ;237,528; -   ; -   ;26,305; -   ;2,071,373; -   ;6,005;29,121;25,982;1,577
tempestad; VALÈNCIA/VALENCIA; -   ; -   ; -   ; -   ; -   ;5,807; -   ; -   ; -   ;81,521;17,074,157; -   ; -   ;959,486;1,295;3,839,097;17,876,879;103,509;8,947,615;14,251; -   ;1,035,546; -   ;3,475;167,241;10,451;5,294,240
tempestad; VALLADOLID; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,492,929; -   ;5,613; -   ; -   ;8,363;363,622;185,754; -   ; -   ; -   ; -   ; -   ; -   
tempestad; BIZKAIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,020;4,836,609;22,940;376,557;32,323,779;6,311,346;812,344;361,245;1,149,777;2,382,703;622,605;108,049;2,154,503;12,926;2,993,923;321,637
tempestad; ZAMORA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,073,334;361,190;3,718; -   ;143,202;10,897; -   ;51,458;49,508; -   ;281,929;18,539
tempestad; ZARAGOZA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;13,275; -   ; -   ; -   ; -   ;700,271;170,905;98,892;11,197;7,045,648;166,575;1,219,704;64,658;2,589,453;2,355,838;2,936,591;35,735
tempestad; CEUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
tempestad; MELILLA; -   ; -   ; -   ; -   ; -   ; -   ; -   ;5,407; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
tempestad; DIVERSAS*; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; ARABA/ÁLAVA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; ALBACETE; -   ; -   ;240; -   ; -   ;128,901; -   ; -   ;1,143; -   ; -   ;7,091; -   ;17,810; -   ; -   ; -   ;11,164; -   ; -   ; -   ;133,312; -   ;75,492; -   ; -   ; -   
terremoto; ALACANT/ALICANTE;3,660;10,420;8,339; -   ;24,528;282,588;3,759;6,900; -   ;27,665;2,256;4,892;6,078;19,734;363,994;32,525; -   ;46,376;2,760; -   ; -   ; -   ; -   ; -   ;902;2,364;2,167
terremoto; ALMERÍA;951,792;5,401;13,137;6,602;22,320;4,008; -   ;3,598;34,750;702;8,334;3,504; -   ;2,768;65,598; -   ;41,650;380,085; -   ; -   ; -   ; -   ;14,918; -   ; -   ; -   ; -   
terremoto; ÁVILA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
